idx,English,Darija,MSA
5791,"I'll pay cash, but let me read it, please. What are these fees for?",غادي نخلص ايسبيس، ولايني خليني نشوف بعدا، عفاك. ديالاش هاد لحساب؟,"سأدفع نقدا , لكن دعني أقرؤها , من فضلك . لأي شيء هذه الرسوم ؟"
5792,Is it candy?,واش حلو؟,أهي حلوى .
5795,What ? We have just finished a meal and now they are preparing a second meal.,كيفاش؟ يالاه سالينا هاد لماكلا و جايبين وحدا خرا.,ماذا ؟ لقد انتهينا لتونا من وجبة والآن هم يعدون وجبة ثانية .
5796,I'll take at least ninety-nine hours.,كاياخد علاين تسعود او تسعين ساعة.,سآخذ على الأقل تسعة وتسعين ساعة .
5798,Sometimes he pays a short visit to see us.,كايجي مرا مرا يطل علينا.,أحيانا يقوم بزيارة قصيرة ليرانا .
5801,Where is the mirror?,فيناهييا لمرايا؟,أين المرآة ؟
5802,How do I open the hood?,كيفاش كانحل هاد الكوفر؟,كيف أفتح غطاء محرك السيارة ؟
5803,I left something in the room.,نسيت شي حاجا ف الشومبر عندي.,تركت شيئا في الحجرة .
5804,"I'd like a liver sausage, please.",بغيت السوسيط ديال لكبدا، عفاك.,"أريد نقانق كبده , من فضلك ."
5805,Use a public vending machine.,استعمل داك الديستريبيتور.,استعمل آلة البيع العمومية .
5807,"Haircut and shampoo, please.",بغيت نغسل ب الشامبوان و نقطع شعري.,"قـَصة شعر وشامبو , من فضلك ."
5808,I want to rent some clubs.,بغيت نكري شي كلوب.,أريد أن أستأجر بعض الأندية .
5809,How many hours do we have left before we start?,شحال باقي د لواقت باش يبدا؟,كم ساعة تتبقى لنا قبل أن نبدأ ؟
5810,You have been confirmed again.,عاودتي أكدتي.,تم التأكيد عليك ثانية .
5813,Please take this to the taxi stand.,وصل معاك هادشي ل سطاسي د طاكسي.,من فضلك خذ هذا إلى موقف التاكسيات .
5814,What is the total percentage of all applicable taxes?,شحال النسبة العامة ديال غاع الرسوم اللي دايرين؟,ما هي مجموع النسبة المئوية لكل الضرائب المطبقة ؟
5816,It's been a long time since I've seen you.,من شحال ما بقينا شفناك.,لقد مر وقت طويل منذ أن رأيتك .
5818,"Golf reservations, please.",ريسيرفي ليا الملعب ديال الغولف، عفاك.,"حجز لملعب الجولف , من فضلك ."
5822,I will tolerate some inconvenience.,غي مغمض عينييا على شحال من حاجة.,سأتحمل بعض الإزعاج .
5823,Please put some bright dye on my hair.,صاوب لييا لي ميش.,من فضلك ضع بعض الأصباغ الزاهية على شعري .
5830,What type of music is this?,شنو هي الموسيقا؟,ما نوع هذه الموسيقى ؟
5832,Can you give me a delivery?,عندك شي كريك تسلفو لييا؟,هل يمكن أن تعطني توصيله ؟
5834,We have a nurse who understands Japanese.,عندنا واحد لفرمليا كاتهدر ب اليابانية.,لدينا ممرضة تفهم اليابانية .
5838,Do you have medicine for a runny nose?,عندك شي دوا ديال النيف عي دايز؟,هل لديك دواءا لرشح الأنف ؟
5840,Can you take me to the hospital?,واكا توصلني ل سبيطار؟,هل يمكن أن تأخذني إلى المستشفى ؟
5842,"No, I have nothing to declare.",لالا، ماعندي ماندكلاري.,"لا , ليس لدي ما أصرح به ."
5843,Here's fifty dollars if you get into trouble.,هاهي عندك خمسين دولار ماعرفني تحتاج ليها لوقت و الزمان.,هاك خمسون دولارا لو وقعت في ضائقة .
5844,The main dining room will open at eight and close at ten.,الريسطورو ماكايحل حتال التمنيا د الليل و كاتسد معا لعشرة.,غرفة الطعام الرئيسية سوف تفتح في الساعة الثامنة وتغلق في العاشرة .
5846,Can we write two checks?,ندير ليك جوج د الفاكتورات.,هل يمكن أن نحرر شيكين ؟
5847,"Please give your child this medicine to drink, one dose after each meal.",عطي هاد السيرو لولدك، معيلقا مورا الماكلا.,"من فضلك أعط طفلك هذا الدواء الشراب , جرعة واحدة بعد كل وجبة ."
5848,"This model is available in sizes twenty-eight, thirty-one and thirty-five centimeters.",هاد ستيل كاين ف التمنياوعشرين، الواحد و تلاتين و الخمساوتلاتين.,"هذا الموديل متوفر بمقاسات ثمانية وعشرين , وواحد وثلاثين وخمسة وثلاثين سنتيمترا ."
5849,How do you feel ? It's made in Switzerland and it's a trend here.,مرتاح فيه؟ را مصاوبين ف سويسرا اآ لا موض دابا.,ما شعورك ؟ لقد صنعت في سويسرا وهي موضة هنا .
5853,What type of batteries are used in it?,ينا حجرا كادير؟,أي نوع من البطاريات تستخدم فيها ؟
5854,"I would like a children's book, please.",بغيت شي كتاب ديال الدراري الصغار، عفاك.,"أريد كتاب أطفال , من فضلك ."
5859,"I'm sorry, but I want to cancel my reservation.",سمحلي، بغيت ن آنيلي الريزيرفاسيو ديالي.,"أنا آسف , ولكنني أريد أن ألغي الحجز ."
5861,"Sorry, I don't like it.",لا سمحلي، ماكانحملوش.,"آسف , إنها لا تروق لي ."
5862,What is there to see in this part of town?,شنو كاين مايتشاف اخور ف هاد لمدينة؟,ماذا هناك لكي نراه في هذا الجزء من المدينة ؟
5863,Books and brochures.,كتوبا و بروشيرات.,الكتب والكتيبات .
5865,peace .,آرا.,سلم .
5866,Skip two buildings. It's there in the corner.,كمل نيشان جوج شوارع، كاين ف القنت.,تخطى عمارتين . إنها هناك في الركن .
5867,Where is the popular disco?,فيناهييا لا بواط ديال الوقت؟,أين الديسكو الشعبي ؟
5870,"This hotel on top of the hill has a nice view of the city, doesn't it?",هاد لوطيل لي جا ف العقبة شاد منيضر زوين ديال لمدينة، ياك؟,"هذا الفندق على قمة التل له منظر جميل على المدينة , أليس كذلك ؟"
5871,How much should I spend?,شحال خاصني ندير؟,كم يجب أن أنفق ؟
5872,I would like to watch a professional baseball game.,بغين نلعب شي ماتش ديال البيز بول شي حاجة بروفيسيونيل.,أود أن أشاهد مباراة في البيسبول للمحترفين .
5873,"Please, call me an ambulance.",عيط على لابينانص.,"من فضلك , أطلب لي الإسعاف ."
5875,"Oh, it looks like a lottery.",أوو، هادشي بزاف.,"أوه , يبدو كأنه قرعة ."
5876,"Well, I must have forgotten it. Thanks for the review.",ممم، باينا نسيتها. شكرا حيت قلبتيليا.,"حسنا , لا بد أنني قد نسيتها . شكرا على المراجعة ."
5877,This is my business card. I am responsible for importing furniture from Japan.,هاهييا لا چارتي فيزيت ديالي. انا لي كانجيب السلعة لليابان.,هذه بطاقة عملي . أنا مسئول عن استيراد أثاث من اليابان .
5879,"My co-worker, Mr. Takemi, suggested that I invite you. He is one of your patients.",صاحبي، السي تاكيمي غالي باش نعيط ليك. راه كايدوز عندكم.,"زميلي في العمل , السيد تاكيمي , اقترح علي أن أدعوك . إنه أحد مرضاك ."
5880,I have another engagement the other day.,عندي رينديفو آخر هاد النهار.,لدي ارتباط آخر في ذلك اليوم .
5881,How do I go back?,كيفاش نرجع؟,كيف أرجع ؟
5884,See you on Monday.,ب الطنين.,أراك يوم الاثنين .
5885,Do you have this in green?,واش عندك هادا ف لخضر؟,هل عندك هذا باللون الأخضر ؟
5886,I'm new here .,انا جديد هنايا.,أنا جديد هنا .
5887,I miss my wine.,توحشت الشراب ديالي.,أنا أفتقد خمري .
5889,I am an insurance agent.,انا خدام ف التأمينات.,أنا وكيل تأمين .
5890,What kind of appetizers do you eat?,شنو هوما لمقبلات لي عندكم؟,أي نوع من المقبلات تأكل ؟
5891,certainly .,لموهيم.,بالتأكيد .
5892,Some inevitable work appeared.,خاصني نتحزم لواحد لمشكيلة.,ظهر بعض العمل الذي لا مفر منه .
5893,"The terms of the contract are clear, but I do not understand the next point.",لي كونديسيو ديال لكونطرا راهم باينين، ولايني مافهمتش الشي لاخور.,"شروط العقد واضحة , ولكنني لا أفهم النقطة التالية ."
5895,"Yes, some of our rooms overlook a garden, but they are very expensive.",اه، كاينين عندنا دي شومبر كايطلو على الجرضا، ولاكن غاليين.,"نعم , بعض حجراتنا تطل على حديقة , لكنها مكلفة كثيرا ."
5896,"Why then, it must have fallen out of my pocket. I have to tell the hotel detective about this.",واقيلا طاح ليا من جيبي. خاصني نعلم السيكيريتي ديال لوطيل.,"لماذا إذا , لابد أنها سقطت من جيبي . لابد أن أخبر مخبر الفندق بذلك ."
5898,Can I use your phone?,واخا تعطيني تيليفونك نعيط بيه، عفاك؟,هل يمكن أن أستعمل هاتفك ؟
